"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27","MINIMAL-METTA-TESTS.27","","Sun Mar 09 12:17:32 GMT 2025","passed","Sun Mar 09 12:17:32 GMT 2025","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","24","MINIMAL-METTA-TESTS.14","","Sun Mar 09 12:17:32 GMT 2025","failed","Sun Mar 09 12:17:32 GMT 2025","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","40","OR-TEST.05","","Sun Mar 09 12:17:32 GMT 2025","passed","Sun Mar 09 12:17:32 GMT 2025","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","58","00-LANG-CASE.16","","Sun Mar 09 12:17:32 GMT 2025","passed","Sun Mar 09 12:17:32 GMT 2025","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","81","SORTING-TESTS.12","","Sun Mar 09 12:17:32 GMT 2025","passed","Sun Mar 09 12:17:32 GMT 2025","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","22","ARITY-TESTS.12","","Sun Mar 09 12:17:32 GMT 2025","failed","Sun Mar 09 12:17:32 GMT 2025","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","70","MINIMAL-METTA-TESTS.01","","Sun Mar 09 12:17:32 GMT 2025","passed","Sun Mar 09 12:17:32 GMT 2025","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","167","UNIQUE-TEST.12","","Sun Mar 09 12:17:32 GMT 2025","passed","Sun Mar 09 12:17:32 GMT 2025","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","12","INTERSECTION-TESTS.28","","Sun Mar 09 12:17:32 GMT 2025","failed","Sun Mar 09 12:17:32 GMT 2025","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","97","A3-TWOSIDE.01","","Sun Mar 09 12:17:01 GMT 2025","passed","Sun Mar 09 12:17:01 GMT 2025","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","32","CALL-CLEANUP-TESTS.08","","Sun Mar 09 12:17:32 GMT 2025","passed","Sun Mar 09 12:17:32 GMT 2025","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","32","INDEX-MIN-FUNCTIONS-EXTRA-2.19","","Sun Mar 09 12:17:32 GMT 2025","failed","Sun Mar 09 12:17:32 GMT 2025","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2000","hyperon-mettalog_sanity.sorting_tests","","Sun Mar 09 12:17:00 GMT 2025","failed","Sun Mar 09 12:17:02 GMT 2025","","WHOLE-TESTS","WHOLE-TESTS",""
"","1000","hyperon-mettalog_sanity.00_lang_case","","Sun Mar 09 12:17:00 GMT 2025","failed","Sun Mar 09 12:17:01 GMT 2025","","WHOLE-TESTS","WHOLE-TESTS",""
"","19","B3-DIRECT.02","","Sun Mar 09 12:17:01 GMT 2025","passed","Sun Mar 09 12:17:01 GMT 2025","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","74","PARTITIONING-ATOMSPACES-AND-PERFORMANCE-HE-774.03","","Sun Mar 09 12:17:32 GMT 2025","passed","Sun Mar 09 12:17:32 GMT 2025","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","1000","metta-morph_tests.types2","","Sun Mar 09 12:17:00 GMT 2025","failed","Sun Mar 09 12:17:01 GMT 2025","","WHOLE-TESTS","WHOLE-TESTS",""
"","111","PY-TYPES.04","","Sun Mar 09 12:17:32 GMT 2025","passed","Sun Mar 09 12:17:32 GMT 2025","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","106","D2-HIGHERFUNC.01","","Sun Mar 09 12:17:01 GMT 2025","passed","Sun Mar 09 12:17:01 GMT 2025","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","22","MINIMAL-METTA-TESTS.09","","Sun Mar 09 12:17:32 GMT 2025","passed","Sun Mar 09 12:17:32 GMT 2025","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","19","CATCH-THROW-TESTS.08","","Sun Mar 09 12:17:32 GMT 2025","passed","Sun Mar 09 12:17:32 GMT 2025","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","76","SUPERPOSE-NESTED.01","","Sun Mar 09 12:41:44 GMT 2025","passed","Sun Mar 09 12:41:44 GMT 2025","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","93","EVAL-FOR-TESTS.04","","Sun Mar 09 12:17:32 GMT 2025","failed","Sun Mar 09 12:17:32 GMT 2025","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","71","SORTING-TESTS-NATS.27","","Sun Mar 09 12:17:32 GMT 2025","failed","Sun Mar 09 12:17:32 GMT 2025","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","2000","hyperon-mettalog_sanity.space_intersection_tests","","Sun Mar 09 12:17:00 GMT 2025","failed","Sun Mar 09 12:17:02 GMT 2025","","WHOLE-TESTS","WHOLE-TESTS",""
"","1000","hyperon-mettalog_sanity.first_answer","","Sun Mar 09 12:17:00 GMT 2025","failed","Sun Mar 09 12:17:01 GMT 2025","","WHOLE-TESTS","WHOLE-TESTS",""
"","50","B5-TYPES-PRELIM.06","","Sun Mar 09 12:17:01 GMT 2025","passed","Sun Mar 09 12:17:01 GMT 2025","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","37","INDEX-MIN-FUNCTIONS-EXTRA-3.07","","Sun Mar 09 12:17:32 GMT 2025","failed","Sun Mar 09 12:17:32 GMT 2025","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","37","D4-TYPE-PROP-X2.02","","Sun Mar 09 12:17:01 GMT 2025","passed","Sun Mar 09 12:17:01 GMT 2025","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","25","B5-TYPES-PRELIM.13","","Sun Mar 09 12:17:01 GMT 2025","passed","Sun Mar 09 12:17:01 GMT 2025","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","16","COMPILE-TESTS.04","","Sun Mar 09 12:17:32 GMT 2025","passed","Sun Mar 09 12:17:32 GMT 2025","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","0","hyperon-mettalog_sanity.base_test_repr_parse_intersection","","Sun Mar 09 12:17:00 GMT 2025","failed","Sun Mar 09 12:17:00 GMT 2025","","WHOLE-TESTS","WHOLE-TESTS",""
"","79","B2-BACKCHAIN.01","","Sun Mar 09 12:17:01 GMT 2025","passed","Sun Mar 09 12:17:01 GMT 2025","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","167","ALPHA-EQUALS-TESTS.13","","Sun Mar 09 12:17:32 GMT 2025","passed","Sun Mar 09 12:17:32 GMT 2025","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","20","INDEX-MIN-FUNCTIONS-EXTRA-1.13","","Sun Mar 09 12:17:32 GMT 2025","failed","Sun Mar 09 12:17:32 GMT 2025","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","19","HYPERPOSE.03","","Sun Mar 09 12:41:44 GMT 2025","passed","Sun Mar 09 12:41:44 GMT 2025","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","83","INDEX-MIN-FUNCTIONS-EXTRA-2.12","","Sun Mar 09 12:17:32 GMT 2025","passed","Sun Mar 09 12:17:32 GMT 2025","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","27","00-LANG-CASE.02","","Sun Mar 09 12:17:32 GMT 2025","passed","Sun Mar 09 12:17:32 GMT 2025","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","3000","hyperon-mettalog_sanity.recursive_tuple_list_perf_he_394","","Sun Mar 09 12:17:00 GMT 2025","failed","Sun Mar 09 12:17:03 GMT 2025","","WHOLE-TESTS","WHOLE-TESTS",""
"","32","FIND-ALL-TESTS.06","","Sun Mar 09 12:17:32 GMT 2025","passed","Sun Mar 09 12:17:32 GMT 2025","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","44","E1-KB-WRITE.02","","Sun Mar 09 12:17:01 GMT 2025","passed","Sun Mar 09 12:17:01 GMT 2025","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","65","OR-TEST.01","","Sun Mar 09 12:17:32 GMT 2025","passed","Sun Mar 09 12:17:32 GMT 2025","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","1000","metta-morph_tests.match_empty_same","","Sun Mar 09 12:17:00 GMT 2025","failed","Sun Mar 09 12:17:01 GMT 2025","","WHOLE-TESTS","WHOLE-TESTS",""
"","25","SEQUENTIAL-NESTED.07","","Sun Mar 09 12:41:44 GMT 2025","passed","Sun Mar 09 12:41:44 GMT 2025","","METTA-MORPH-TESTS","METTA-MORPH-TESTS",""
"","18","EVAL-FOR-TESTS.07","","Sun Mar 09 12:17:32 GMT 2025","passed","Sun Mar 09 12:17:32 GMT 2025","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","75","LIMIT-TESTS.12","","Sun Mar 09 12:17:32 GMT 2025","failed","Sun Mar 09 12:17:32 GMT 2025","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","46","TYPE-CHECKING-SYMBOL-HE-673.02","","Sun Mar 09 12:17:32 GMT 2025","failed","Sun Mar 09 12:17:32 GMT 2025","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","46","INDEX-MIN-FUNCTIONS-EXTRA-3.25","","Sun Mar 09 12:17:32 GMT 2025","passed","Sun Mar 09 12:17:32 GMT 2025","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","91","A1-SYMBOLS.04","","Sun Mar 09 12:17:01 GMT 2025","passed","Sun Mar 09 12:17:01 GMT 2025","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","77","INTERSECTION-TESTS.30","","Sun Mar 09 12:17:32 GMT 2025","passed","Sun Mar 09 12:17:32 GMT 2025","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","38","METHOD-SELECTION-TESTS.13","","Sun Mar 09 12:17:32 GMT 2025","passed","Sun Mar 09 12:17:32 GMT 2025","","HYPERON-METTALOG-SANITY","HYPERON-METTALOG-SANITY",""
"","67","D1-GADT.12","","Sun Mar 09 12:17:01 GMT 2025","failed","Sun Mar 09 12:17:01 GMT 2025","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
"","45","D5-AUTO-TYPES.02","","Sun Mar 09 12:17:01 GMT 2025","failed","Sun Mar 09 12:17:01 GMT 2025","","HYPERON-EXPERIMENTAL-SCRIPTS","HYPERON-EXPERIMENTAL-SCRIPTS",""
