"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 25 08:47:50 UTC 2024","Mon Nov 25 08:48:00 UTC 2024","10000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-morph_tests.identity",""
"failed","Mon Nov 25 09:00:29 UTC 2024","Mon Nov 25 09:00:29 UTC 2024","14","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","FIRST-ANSWER.01",""
"passed","Mon Nov 25 09:15:05 UTC 2024","Mon Nov 25 09:15:05 UTC 2024","1","","METTA-LANG","","METTA-LANG","","CONCRETE-TYPES---METTA-LANGUAGE7.05",""
"failed","Mon Nov 25 09:00:29 UTC 2024","Mon Nov 25 09:00:29 UTC 2024","67","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","EVAL-FOR-TESTS.05",""
"passed","Mon Nov 25 09:15:05 UTC 2024","Mon Nov 25 09:15:05 UTC 2024","2","","METTA-LANG","","METTA-LANG","","RECURSION-AND-CONTROL---METTA-LANGUAGE9.03",""
"passed","Mon Nov 25 09:00:29 UTC 2024","Mon Nov 25 09:00:29 UTC 2024","2","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","03-SORING-VIA-INSERT.04",""
"passed","Mon Nov 25 08:48:00 UTC 2024","Mon Nov 25 08:48:00 UTC 2024","3","","ANTI-REGRESSION","","ANTI-REGRESSION","","COMMA-IS-NOT-SPECIAL.01",""
"failed","Mon Nov 25 09:00:29 UTC 2024","Mon Nov 25 09:00:29 UTC 2024","81","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","WHAT-EVALS-OR-NOT.09",""
"passed","Mon Nov 25 08:55:43 UTC 2024","Mon Nov 25 08:55:43 UTC 2024","9","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","D2-HIGHERFUNC.21",""
"passed","Mon Nov 25 08:48:00 UTC 2024","Mon Nov 25 08:48:00 UTC 2024","3","","ANTI-REGRESSION","","ANTI-REGRESSION","","TMPMATCH2.01",""
"passed","Mon Nov 25 09:15:05 UTC 2024","Mon Nov 25 09:15:05 UTC 2024","5","","METTA-LANG","","METTA-LANG","","CONSOLE-OUTPUT-AND-DEBUGGING---METTA-LANGUAGE3.01",""
"failed","Mon Nov 25 09:00:29 UTC 2024","Mon Nov 25 09:00:29 UTC 2024","116","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","PY-TYPES.05",""
"passed","Mon Nov 25 09:45:29 UTC 2024","Mon Nov 25 09:45:29 UTC 2024","4","","QUICK","","QUICK","","F1-MODULEA.01",""
"passed","Mon Nov 25 09:00:29 UTC 2024","Mon Nov 25 09:00:29 UTC 2024","1","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","MINIMAL-METTA-TESTS.39",""
"passed","Mon Nov 25 09:15:05 UTC 2024","Mon Nov 25 09:15:05 UTC 2024","2","","METTA-LANG","","METTA-LANG","","HANDLING-NONDETERMINISTIC-RESULTS---METTA-LANGUAGE5.03",""
"passed","Mon Nov 25 09:00:29 UTC 2024","Mon Nov 25 09:00:29 UTC 2024","1","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","SUBTRACTION-TEST.02",""
"passed","Mon Nov 25 09:00:29 UTC 2024","Mon Nov 25 09:00:29 UTC 2024","1","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","XOR-TEST.06",""
"passed","Mon Nov 25 09:00:29 UTC 2024","Mon Nov 25 09:00:29 UTC 2024","5","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","MINIMAL-METTA-TESTS.01",""
"passed","Mon Nov 25 09:15:05 UTC 2024","Mon Nov 25 09:15:05 UTC 2024","4","","METTA-LANG","","METTA-LANG","","OPERATIONS-OVER-ATOMS---METTA-LANGUAGE9.01",""
"passed","Mon Nov 25 09:00:29 UTC 2024","Mon Nov 25 09:00:29 UTC 2024","1","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","INTERSECTION-TESTS.25",""
"passed","Mon Nov 25 09:15:05 UTC 2024","Mon Nov 25 09:15:05 UTC 2024","5","","METTA-LANG","","METTA-LANG","","CONTROLLING-PATTERN-MATCHING---METTA-LANGUAGE11.01",""
"passed","Mon Nov 25 09:15:05 UTC 2024","Mon Nov 25 09:15:05 UTC 2024","2","","METTA-LANG","","METTA-LANG","","QUERYING-SPACE-CONTENT---METTA-LANGUAGE2.02",""
"passed","Mon Nov 25 09:45:29 UTC 2024","Mon Nov 25 09:45:29 UTC 2024","1","","QUICK","","QUICK","","C1-GROUNDED-BASIC.02",""
"passed","Mon Nov 25 08:47:50 UTC 2024","Mon Nov 25 08:47:59 UTC 2024","9000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-morph_tests.match_feval",""
"passed","Mon Nov 25 08:55:43 UTC 2024","Mon Nov 25 08:55:43 UTC 2024","3","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","C1-GROUNDED-BASIC.23",""
"passed","Mon Nov 25 09:15:05 UTC 2024","Mon Nov 25 09:15:05 UTC 2024","4","","METTA-LANG","","METTA-LANG","","BASIC-EVALUATION---METTA-LANGUAGE9.01",""
"passed","Mon Nov 25 09:15:05 UTC 2024","Mon Nov 25 09:15:05 UTC 2024","1","","METTA-LANG","","METTA-LANG","","WORKING-WITH-SPACES---METTA-LANGUAGE3.04",""
"failed","Mon Nov 25 08:47:50 UTC 2024","Mon Nov 25 08:48:32 UTC 2024","42000","","WHOLE-TESTS","","WHOLE-TESTS","","anti-regression.tmpMatch2",""
"passed","Mon Nov 25 08:55:43 UTC 2024","Mon Nov 25 08:55:43 UTC 2024","1","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","D4-TYPE-PROP.13",""
"failed","Mon Nov 25 09:45:29 UTC 2024","Mon Nov 25 09:45:29 UTC 2024","66","","QUICK","","QUICK","","D2-HIGHERFUNC.07",""
"passed","Mon Nov 25 08:47:50 UTC 2024","Mon Nov 25 08:47:59 UTC 2024","9000","","WHOLE-TESTS","","WHOLE-TESTS","","metta_lang.Control_flow___MeTTa_Language10",""
"failed","Mon Nov 25 09:00:29 UTC 2024","Mon Nov 25 09:00:29 UTC 2024","36","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","MATH-HYPHEN-FUNCTIONS.14",""
"passed","Mon Nov 25 09:15:05 UTC 2024","Mon Nov 25 09:15:05 UTC 2024","2","","METTA-LANG","","METTA-LANG","","OPERATIONS-OVER-ATOMS---METTA-LANGUAGE5.02",""
"failed","Mon Nov 25 09:00:29 UTC 2024","Mon Nov 25 09:00:29 UTC 2024","57","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","RUST-TESTS.08",""
"passed","Mon Nov 25 09:15:05 UTC 2024","Mon Nov 25 09:15:05 UTC 2024","2","","METTA-LANG","","METTA-LANG","","CONTROLLING-PATTERN-MATCHING---METTA-LANGUAGE12.15",""
"passed","Mon Nov 25 08:47:50 UTC 2024","Mon Nov 25 08:47:59 UTC 2024","9000","","WHOLE-TESTS","","WHOLE-TESTS","","metta_lang.Recursive_and_parametric_types___MeTTa_Language6",""
"passed","Mon Nov 25 09:00:29 UTC 2024","Mon Nov 25 09:00:29 UTC 2024","2","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","UNIQUE-TEST.10",""
"passed","Mon Nov 25 08:47:50 UTC 2024","Mon Nov 25 08:48:00 UTC 2024","10000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-morph_tests.let_superpose_if_case",""
"failed","Mon Nov 25 09:00:29 UTC 2024","Mon Nov 25 09:00:29 UTC 2024","91","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","INDEX-MIN-FUNCTIONS-EXTRA-1.35",""
"passed","Mon Nov 25 09:00:29 UTC 2024","Mon Nov 25 09:00:29 UTC 2024","2","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","XOR-TEST.02",""
"passed","Mon Nov 25 09:45:29 UTC 2024","Mon Nov 25 09:45:29 UTC 2024","2","","QUICK","","QUICK","","C1-GROUNDED-BASIC.19",""
"passed","Mon Nov 25 08:47:50 UTC 2024","Mon Nov 25 08:48:00 UTC 2024","10000","","WHOLE-TESTS","","WHOLE-TESTS","","metta-morph_tests.if",""
"passed","Mon Nov 25 08:55:43 UTC 2024","Mon Nov 25 08:55:43 UTC 2024","2","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","D2-HIGHERFUNC.10",""
"passed","Mon Nov 25 09:39:15 UTC 2024","Mon Nov 25 09:39:15 UTC 2024","1","","METTA-MORPH-TESTS","","METTA-MORPH-TESTS","","SEQUENTIAL-NESTED.09",""
"passed","Mon Nov 25 08:55:43 UTC 2024","Mon Nov 25 08:55:43 UTC 2024","2","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","B4-NONDETERM.06",""
"failed","Mon Nov 25 09:00:29 UTC 2024","Mon Nov 25 09:00:29 UTC 2024","49","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","MATH-HYPHEN-FUNCTIONS.09",""
"passed","Mon Nov 25 09:00:29 UTC 2024","Mon Nov 25 09:00:29 UTC 2024","2","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","MAX-TIME-TESTS.03",""
"passed","Mon Nov 25 08:47:19 UTC 2024","Mon Nov 25 08:47:19 UTC 2024","2","","MODULE-SYSTEM","","MODULE-SYSTEM","","F1-IMPORTS.02",""
"passed","Mon Nov 25 09:00:29 UTC 2024","Mon Nov 25 09:00:29 UTC 2024","1","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","XOR-TEST.10",""
"failed","Mon Nov 25 09:15:05 UTC 2024","Mon Nov 25 09:15:05 UTC 2024","7","","METTA-LANG","","METTA-LANG","","CONCRETE-TYPES---METTA-LANGUAGE13.02",""
"failed","Mon Nov 25 09:00:29 UTC 2024","Mon Nov 25 09:00:29 UTC 2024","16","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","ARITY-TESTS.02",""
"passed","Mon Nov 25 09:15:05 UTC 2024","Mon Nov 25 09:15:05 UTC 2024","1","","METTA-LANG","","METTA-LANG","","CONTROL-FLOW---METTA-LANGUAGE16.06",""
"passed","Mon Nov 25 09:15:05 UTC 2024","Mon Nov 25 09:15:05 UTC 2024","4","","METTA-LANG","","METTA-LANG","","CONTROLLING-PATTERN-MATCHING---METTA-LANGUAGE10.01",""
"passed","Mon Nov 25 09:00:29 UTC 2024","Mon Nov 25 09:00:29 UTC 2024","2","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","CALL-TESTS.08",""
"passed","Mon Nov 25 08:47:50 UTC 2024","Mon Nov 25 08:48:00 UTC 2024","10000","","WHOLE-TESTS","","WHOLE-TESTS","","metta_lang.Controlling_pattern_matching___MeTTa_Language6",""
"failed","Mon Nov 25 09:00:29 UTC 2024","Mon Nov 25 09:00:29 UTC 2024","104","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","INDEX-MIN-FUNCTIONS-EXTRA-2.07",""
"passed","Mon Nov 25 09:00:29 UTC 2024","Mon Nov 25 09:00:29 UTC 2024","1","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","INTERSECTION-TESTS.16",""
"passed","Mon Nov 25 09:15:05 UTC 2024","Mon Nov 25 09:15:05 UTC 2024","3","","METTA-LANG","","METTA-LANG","","FUNCTIONS-AND-UNIFICATION---METTA-LANGUAGE4.03",""
"passed","Mon Nov 25 08:55:43 UTC 2024","Mon Nov 25 08:55:43 UTC 2024","2","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","C1-GROUNDED-BASIC.12",""
"passed","Mon Nov 25 09:15:05 UTC 2024","Mon Nov 25 09:15:05 UTC 2024","12","","METTA-LANG","","METTA-LANG","","CONTROLLING-PATTERN-MATCHING---METTA-LANGUAGE10.06",""
"passed","Mon Nov 25 08:55:43 UTC 2024","Mon Nov 25 08:55:43 UTC 2024","2","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","F1-MODULEA.07",""
"passed","Mon Nov 25 08:55:43 UTC 2024","Mon Nov 25 08:55:43 UTC 2024","1","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","E2-STATES.04",""
"passed","Mon Nov 25 08:47:50 UTC 2024","Mon Nov 25 08:48:00 UTC 2024","10000","","WHOLE-TESTS","","WHOLE-TESTS","","hyperon-mettalog_sanity.subtraction_test",""
"passed","Mon Nov 25 09:39:15 UTC 2024","Mon Nov 25 09:39:15 UTC 2024","74","","METTA-MORPH-TESTS","","METTA-MORPH-TESTS","","SEQUENTIAL-NESTED.11",""
"passed","Mon Nov 25 09:39:15 UTC 2024","Mon Nov 25 09:39:15 UTC 2024","5","","METTA-MORPH-TESTS","","METTA-MORPH-TESTS","","COLLAPSE.01",""
"passed","Mon Nov 25 08:47:50 UTC 2024","Mon Nov 25 08:47:59 UTC 2024","9000","","WHOLE-TESTS","","WHOLE-TESTS","","metta_lang.Operations_over_atoms___MeTTa_Language3",""
"passed","Mon Nov 25 09:00:29 UTC 2024","Mon Nov 25 09:00:29 UTC 2024","2","","HYPERON-METTALOG-SANITY","","HYPERON-METTALOG-SANITY","","EVAL-FOR-TESTS.08",""
"passed","Mon Nov 25 09:15:05 UTC 2024","Mon Nov 25 09:15:05 UTC 2024","2","","METTA-LANG","","METTA-LANG","","CONSOLE-OUTPUT-AND-DEBUGGING---METTA-LANGUAGE5.07",""
"passed","Mon Nov 25 09:45:29 UTC 2024","Mon Nov 25 09:45:29 UTC 2024","2","","QUICK","","QUICK","","D1-GADT.14",""
"passed","Mon Nov 25 08:55:43 UTC 2024","Mon Nov 25 08:55:43 UTC 2024","2","","HYPERON-EXPERIMENTAL-SCRIPTS","","HYPERON-EXPERIMENTAL-SCRIPTS","","D4-TYPE-PROP.02",""
"passed","Mon Nov 25 09:15:05 UTC 2024","Mon Nov 25 09:15:05 UTC 2024","4","","METTA-LANG","","METTA-LANG","","RECURSION-AND-CONTROL---METTA-LANGUAGE8.01",""
